orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
100122,2023-02-17,2023-03-07,Shipped,764,477.29,PayPal
100123,2025-02-25,2025-03-15,Disputed,720,2171.11,PayPal
100124,2023-07-23,2023-08-05,Shipped,931,4311.74,PayPal
100125,2025-04-10,2025-04-13,Shipped,838,2684.4,Bank Transfer
100126,2025-09-27,2025-10-02,Shipped,599,2697.21,Bank Transfer
100127,2023-09-12,2023-09-21,Disputed,920,591.04,Cash
100128,2024-01-04,2024-01-07,Shipped,820,1574.91,Credit Card
100129,2024-02-27,2024-03-06,Shipped,263,4257.99,Credit Card
100130,2023-09-13,2023-10-02,Shipped,990,2724.41,Credit Card
100131,2023-01-01,2023-01-11,Shipped,969,4729.24,Mobile Payment
100132,2024-08-23,2024-09-12,Shipped,591,2454.76,Credit Card
100133,2024-12-22,2025-01-11,Shipped,705,499.55,Bank Transfer
100134,2024-04-30,2024-05-04,Shipped,307,4281.15,Credit Card
100135,2023-10-02,2023-10-22,Shipped,368,1390.59,Bank Transfer
100136,2025-05-14,2025-05-19,Shipped,267,1912.0,Mobile Payment
100137,2025-03-30,2025-04-16,Shipped,261,3384.25,Mobile Payment
100138,2023-10-21,2023-11-10,Shipped,645,3664.71,Mobile Payment
100139,2024-01-30,2024-02-13,Shipped,664,4103.44,PayPal
100140,2025-05-09,2025-05-16,Shipped,807,2170.97,Credit Card
100141,2024-05-21,2024-05-26,Shipped,545,554.4,PayPal
100142,2023-05-16,2023-05-29,Cancelled,372,4546.68,Bank Transfer
100143,2023-10-27,2023-11-06,Shipped,101,1888.89,Mobile Payment
100144,2025-02-14,2025-02-20,Processing,127,882.78,Bank Transfer
100145,2024-09-19,2024-10-07,Shipped,358,3503.78,Cash
100146,2024-07-09,2024-07-15,Processing,175,1593.39,Bank Transfer
100147,2024-01-06,2024-01-20,Processing,695,4840.16,PayPal
100148,2025-04-04,2025-04-22,Shipped,266,52.44,PayPal
100149,2023-11-15,2023-11-22,Shipped,582,3678.43,Credit Card
100150,2025-01-28,2025-02-07,On Hold,429,3535.4,Credit Card
100151,2024-12-25,2025-01-11,Shipped,283,4763.32,PayPal
100152,2024-04-13,2024-04-25,Cancelled,90,4737.54,Credit Card
100153,2024-10-02,2024-10-07,Cancelled,79,3651.12,Mobile Payment
100154,2023-12-05,2023-12-09,Shipped,293,2773.03,Credit Card
100155,2023-01-22,2023-02-07,On Hold,955,3655.33,Credit Card
100156,2025-11-20,2025-12-10,On Hold,416,74.43,Credit Card
100157,2023-01-15,2023-01-31,Processing,768,1728.58,Mobile Payment
100158,2025-12-17,2025-12-21,Cancelled,988,846.82,Mobile Payment
100159,2025-12-08,2025-12-18,Shipped,376,4197.85,PayPal
100160,2023-04-15,2023-05-01,Shipped,175,1869.55,Credit Card
100161,2024-05-26,2024-06-15,Processing,879,593.74,Credit Card
100162,2024-08-24,2024-09-04,Shipped,756,3157.73,Credit Card
100163,2024-09-16,2024-10-05,Processing,37,4677.39,Cash
100164,2025-09-26,2025-09-30,Shipped,631,2304.47,Credit Card
100165,2023-08-08,2023-08-11,Shipped,740,934.86,Credit Card
100166,2023-07-27,2023-08-12,Shipped,87,2647.84,Cash
100167,2025-04-21,2025-04-27,Resolved,8,782.37,PayPal
100168,2024-04-08,2024-04-26,Shipped,307,1825.66,Cash
100169,2024-07-05,2024-07-11,Disputed,673,4197.59,Credit Card
100170,2024-12-25,2025-01-10,Shipped,905,4353.22,Credit Card
100171,2024-01-24,2024-02-05,Shipped,405,2108.17,Credit Card
100172,2023-03-06,2023-03-14,On Hold,972,2399.08,PayPal
100173,2024-06-28,2024-07-04,Shipped,564,2480.36,PayPal
100174,2023-09-18,2023-10-01,Processing,800,4409.42,PayPal
100175,2025-03-07,2025-03-14,Shipped,111,3964.6,Credit Card
100176,2024-12-05,2024-12-24,Shipped,701,1186.34,PayPal
100177,2024-12-01,2024-12-17,Disputed,756,45.1,Credit Card
100178,2024-07-31,2024-08-18,Shipped,440,1242.5,Credit Card
100179,2025-11-13,2025-11-21,Shipped,786,579.52,Credit Card
100180,2024-05-21,2024-06-06,Shipped,724,3914.67,Credit Card
100181,2025-10-25,2025-11-02,Shipped,876,2958.03,PayPal
100182,2024-04-14,2024-04-20,Shipped,40,1372.94,Credit Card
100183,2023-10-27,2023-11-12,Shipped,205,459.22,Credit Card
100184,2025-04-14,2025-05-03,Shipped,649,4900.72,Credit Card
100185,2025-05-22,2025-06-09,Shipped,438,3221.15,Credit Card
100186,2024-07-05,2024-07-19,Shipped,360,3559.37,Credit Card
100187,2023-04-08,2023-04-16,Shipped,54,3303.85,Credit Card
100188,2024-08-07,2024-08-25,Shipped,622,508.3,Credit Card
100189,2025-10-03,2025-10-17,Shipped,115,488.95,Credit Card
100190,2023-09-24,2023-10-07,Shipped,830,1810.12,Bank Transfer
100191,2025-12-19,2026-01-02,Shipped,283,1054.12,Credit Card
100192,2023-08-06,2023-08-13,Cancelled,617,606.17,PayPal
100193,2024-01-26,2024-02-04,Processing,948,497.69,Mobile Payment
100194,2024-12-03,2024-12-15,Processing,780,1013.99,Bank Transfer
100195,2023-03-31,2023-04-07,Shipped,564,3559.46,Cash
100196,2024-12-12,2024-12-26,Shipped,735,591.56,Credit Card
100197,2025-09-15,2025-10-01,Shipped,976,2521.83,Credit Card
100198,2024-07-15,2024-07-22,Shipped,979,2833.04,Bank Transfer
100199,2024-01-25,2024-02-09,Shipped,546,4351.93,Mobile Payment
100200,2023-12-05,2023-12-22,Processing,394,2814.68,Credit Card
100201,2024-07-10,2024-07-19,Shipped,164,2861.63,PayPal
100202,2023-01-19,2023-02-07,Shipped,725,3604.29,Credit Card
100203,2024-03-27,2024-04-08,Processing,566,599.92,Credit Card
100204,2025-12-28,2026-01-07,Shipped,655,744.96,Cash
100205,2023-09-30,2023-10-11,Processing,53,3213.85,Credit Card
100206,2024-03-06,2024-03-26,Shipped,665,1740.57,PayPal
100207,2025-01-25,2025-02-07,Shipped,723,4420.51,Credit Card
100208,2023-10-01,2023-10-17,Processing,302,1626.55,Credit Card
100209,2023-01-22,2023-02-05,Shipped,989,1402.05,Credit Card
100210,2023-02-02,2023-02-22,On Hold,889,3892.04,Bank Transfer
100211,2023-08-06,2023-08-21,Resolved,264,4350.78,PayPal
100212,2024-02-27,2024-03-15,Shipped,276,1023.57,PayPal
100213,2025-03-20,2025-03-27,Shipped,748,3632.8,Credit Card
100214,2025-09-08,2025-09-13,Shipped,471,929.21,Cash
100215,2024-01-22,2024-02-09,Resolved,185,3239.58,Credit Card
100216,2023-11-30,2023-12-08,Processing,704,3041.07,Credit Card
100217,2023-05-28,2023-06-13,Shipped,931,3227.37,Credit Card
100218,2025-12-14,2025-12-21,Processing,828,63.88,Credit Card
100219,2025-02-25,2025-02-28,Shipped,14,3818.41,PayPal
100220,2023-03-31,2023-04-07,Shipped,86,1341.94,Mobile Payment
100221,2023-01-28,2023-01-31,Disputed,109,2714.14,Bank Transfer
100222,2023-06-24,2023-07-03,Shipped,778,2816.44,Credit Card
100223,2023-12-01,2023-12-13,Shipped,159,1222.83,PayPal
100224,2024-07-01,2024-07-21,Shipped,845,227.41,PayPal
100225,2023-07-30,2023-08-18,Processing,426,713.47,Mobile Payment
100226,2023-02-19,2023-03-01,Shipped,151,1769.78,Credit Card
100227,2025-02-26,2025-03-04,Shipped,113,1126.49,Mobile Payment
100228,2024-07-31,2024-08-14,Shipped,342,596.16,Mobile Payment
100229,2023-06-23,2023-06-27,Cancelled,183,2146.0,Credit Card
100230,2024-01-07,2024-01-23,Shipped,684,3437.37,PayPal
100231,2024-08-10,2024-08-24,Processing,278,4581.59,PayPal
100232,2024-06-27,2024-07-02,Processing,883,4665.81,Credit Card
100233,2023-10-28,2023-11-10,Shipped,458,3608.11,Bank Transfer
100234,2025-09-06,2025-09-11,Shipped,438,4798.13,Credit Card
100235,2023-07-05,2023-07-18,Disputed,187,3838.84,Credit Card
100236,2025-10-09,2025-10-25,Shipped,997,2072.65,Bank Transfer
100237,2024-11-13,2024-11-20,Processing,670,4608.42,Credit Card
100238,2025-10-15,2025-11-04,Shipped,546,2683.38,Credit Card
100239,2023-06-21,2023-07-07,Shipped,796,3469.03,Bank Transfer
100240,2023-06-28,2023-07-08,Shipped,209,4969.56,Credit Card
100241,2025-08-28,2025-09-04,Resolved,62,4557.25,Credit Card
100242,2023-10-13,2023-10-25,Shipped,856,4267.29,Mobile Payment
100243,2025-05-12,2025-05-22,Shipped,230,284.05,Credit Card
100244,2023-10-21,2023-11-05,Processing,713,4824.74,Credit Card
100245,2023-08-06,2023-08-11,Shipped,609,4353.03,Credit Card
100246,2025-01-18,2025-01-25,Shipped,79,67.33,Bank Transfer
100247,2025-05-02,2025-05-09,Processing,482,3719.07,Bank Transfer
100248,2024-09-05,2024-09-23,Shipped,346,2222.65,PayPal
100249,2023-01-28,2023-02-09,Shipped,62,4406.38,Credit Card
100250,2023-12-22,2024-01-10,Shipped,406,4164.24,PayPal
100251,2025-07-19,2025-08-08,Processing,265,4596.16,PayPal
100252,2024-04-10,2024-04-26,Resolved,279,4865.75,PayPal
100253,2023-09-14,2023-09-23,Shipped,58,1098.44,Credit Card
100254,2023-06-08,2023-06-25,Shipped,669,3211.24,Bank Transfer
100255,2023-12-04,2023-12-08,Processing,663,2123.99,Credit Card
100256,2023-08-02,2023-08-07,Shipped,798,4233.81,Credit Card
100257,2024-07-31,2024-08-08,Shipped,67,1063.49,Credit Card
100258,2024-09-25,2024-10-04,Shipped,654,4646.36,Credit Card
100259,2023-06-24,2023-06-28,Shipped,810,2421.62,Credit Card
100260,2023-07-10,2023-07-22,Shipped,366,3759.64,Mobile Payment
100261,2025-10-21,2025-10-30,Shipped,401,3629.81,Mobile Payment
100262,2023-07-19,2023-08-01,Shipped,760,2520.37,PayPal
100263,2023-11-04,2023-11-07,Shipped,392,2387.38,Cash
100264,2023-03-18,2023-03-30,Shipped,699,2318.22,Cash
100265,2023-07-11,2023-07-21,Processing,827,3408.89,Credit Card
100266,2023-11-26,2023-12-15,Shipped,747,3045.65,PayPal
100267,2024-11-30,2024-12-17,Processing,348,1457.75,PayPal
100268,2025-06-01,2025-06-05,Processing,793,3415.95,Credit Card
100269,2023-06-03,2023-06-10,Shipped,510,491.54,Credit Card
100270,2024-09-25,2024-10-15,Processing,817,3908.32,Credit Card
100271,2023-07-12,2023-07-29,Shipped,957,1481.56,Credit Card
100272,2025-01-14,2025-01-28,Shipped,184,3554.72,Credit Card
100273,2025-08-27,2025-09-07,Processing,453,3253.21,Credit Card
100274,2023-09-11,2023-09-29,Shipped,880,1436.69,Credit Card
100275,2023-09-22,2023-10-09,Shipped,866,3125.04,Credit Card
100276,2023-06-20,2023-07-06,Shipped,270,4387.66,Mobile Payment
100277,2023-03-29,2023-04-02,Processing,251,3500.23,PayPal
100278,2023-11-13,2023-11-19,Shipped,163,2852.82,Cash
100279,2024-04-01,2024-04-16,Processing,686,472.05,Credit Card
100280,2025-12-31,2026-01-17,Shipped,185,3660.23,Mobile Payment
100281,2025-03-23,2025-04-08,Shipped,337,327.04,Credit Card
100282,2025-09-22,2025-10-01,Processing,488,576.06,Credit Card
100283,2023-11-15,2023-12-03,Shipped,219,1604.33,Credit Card
100284,2025-02-17,2025-02-21,Resolved,371,3948.85,Mobile Payment
100285,2024-03-13,2024-03-17,Shipped,24,4763.46,PayPal
100286,2024-07-06,2024-07-17,Cancelled,86,712.98,Credit Card
100287,2023-06-17,2023-06-29,Processing,463,4357.09,PayPal
100288,2024-06-15,2024-06-23,Processing,95,4475.31,Credit Card
100289,2024-08-31,2024-09-08,Shipped,965,2098.41,Credit Card
100290,2023-11-26,2023-12-12,Shipped,710,2853.73,Bank Transfer
100291,2024-02-11,2024-02-16,Processing,593,3084.48,Credit Card
100292,2024-10-10,2024-10-13,Shipped,470,4669.43,Credit Card
100293,2024-10-10,2024-10-16,Processing,691,2034.9,PayPal
100294,2023-01-08,2023-01-25,Resolved,878,632.96,Credit Card
100295,2023-07-19,2023-07-23,Shipped,193,2103.78,PayPal
100296,2023-12-07,2023-12-22,Shipped,215,4762.12,Mobile Payment
100297,2023-01-30,2023-02-13,Processing,17,1513.21,Credit Card
100298,2023-09-13,2023-10-01,Cancelled,467,2073.2,Credit Card
100299,2025-05-22,2025-06-10,Disputed,344,571.33,Credit Card
100300,2025-05-27,2025-06-10,Shipped,610,817.47,Credit Card
100301,2024-08-06,2024-08-22,Cancelled,719,3103.78,Mobile Payment
100302,2023-07-23,2023-07-28,Processing,107,452.74,Credit Card
100303,2025-04-22,2025-04-28,Shipped,770,3121.01,PayPal
100304,2025-06-28,2025-07-17,Shipped,34,3340.21,Cash
100305,2024-03-09,2024-03-19,Processing,565,1908.49,Credit Card
100306,2025-08-19,2025-08-25,Shipped,813,4570.58,Credit Card
100307,2025-03-21,2025-03-24,Resolved,801,1123.56,Credit Card
100308,2024-06-25,2024-07-07,Processing,815,4547.14,PayPal
100309,2023-01-09,2023-01-25,Shipped,27,771.11,Credit Card
100310,2025-11-28,2025-12-11,Shipped,983,2863.08,Credit Card
100311,2025-03-12,2025-03-21,Cancelled,403,4143.61,Bank Transfer
100312,2025-05-28,2025-06-04,Resolved,400,4886.89,Credit Card
100313,2024-10-13,2024-11-01,Shipped,237,502.39,Bank Transfer
100314,2025-10-29,2025-11-04,Cancelled,804,1963.1,Bank Transfer
100315,2024-06-16,2024-07-06,Shipped,331,1022.79,Credit Card
100316,2025-06-14,2025-06-17,Cancelled,608,769.48,PayPal
100317,2023-06-11,2023-06-26,Shipped,752,657.09,Credit Card
100318,2025-01-03,2025-01-11,Shipped,920,1112.67,Credit Card
100319,2024-05-17,2024-06-01,Processing,676,263.49,Credit Card
100320,2023-10-22,2023-10-25,Cancelled,594,4335.36,Credit Card
100321,2023-09-09,2023-09-15,Shipped,269,4473.55,Credit Card
100322,2025-10-09,2025-10-23,Resolved,213,1957.05,Credit Card
100323,2023-02-14,2023-03-02,Shipped,983,3130.29,Credit Card
100324,2025-05-09,2025-05-24,Processing,649,4541.97,Bank Transfer
100325,2024-01-04,2024-01-16,Shipped,183,3300.03,PayPal
100326,2023-03-06,2023-03-12,Disputed,356,2422.14,PayPal
100327,2023-01-11,2023-01-19,Shipped,261,4633.28,Credit Card
100328,2023-03-02,2023-03-22,Shipped,525,3806.0,Credit Card
100329,2025-01-17,2025-01-23,Processing,31,1641.06,Credit Card
100330,2023-09-17,2023-09-28,Shipped,205,4766.38,Credit Card
100331,2024-08-25,2024-09-11,Processing,508,2183.13,Mobile Payment
100332,2024-01-31,2024-02-11,Shipped,704,4230.95,Bank Transfer
100333,2025-03-15,2025-03-21,Shipped,785,2939.96,Credit Card
100334,2024-02-26,2024-03-15,Shipped,457,2121.57,Bank Transfer
100335,2024-10-14,2024-10-20,Cancelled,440,1002.61,Credit Card
100336,2023-05-12,2023-05-29,Shipped,35,4790.7,Credit Card
100337,2025-04-19,2025-05-01,Cancelled,899,3227.26,Mobile Payment
100338,2024-12-22,2025-01-06,Shipped,185,4046.16,Credit Card
100339,2024-01-16,2024-01-30,Shipped,221,3286.49,Credit Card
100340,2024-10-05,2024-10-11,Shipped,705,59.45,Credit Card
100341,2025-08-11,2025-08-24,Processing,576,335.84,Credit Card
100342,2024-03-10,2024-03-29,Shipped,575,1393.85,PayPal
100343,2023-06-03,2023-06-19,On Hold,446,1592.33,Credit Card
100344,2024-02-08,2024-02-12,Processing,511,238.73,Credit Card
100345,2023-09-02,2023-09-08,Shipped,616,1637.74,Credit Card
100346,2023-02-13,2023-02-25,Shipped,803,4281.23,Mobile Payment
100347,2025-08-03,2025-08-15,Shipped,991,2017.04,Cash
100348,2025-12-16,2025-12-20,Shipped,17,351.92,Credit Card
100349,2025-04-30,2025-05-12,Shipped,772,1732.39,Credit Card
100350,2024-10-03,2024-10-21,Cancelled,403,1495.73,Mobile Payment
100351,2025-10-07,2025-10-13,Processing,961,3091.8,Credit Card
100352,2023-04-08,2023-04-11,Shipped,331,4307.64,Bank Transfer
100353,2024-04-08,2024-04-16,Shipped,742,4511.87,Credit Card
100354,2023-01-11,2023-01-15,Shipped,804,220.17,Credit Card
100355,2024-09-15,2024-09-20,Shipped,705,3065.69,Bank Transfer
100356,2024-07-06,2024-07-14,Resolved,598,2306.17,Credit Card
100357,2023-10-31,2023-11-16,Cancelled,685,616.25,PayPal
100358,2025-09-05,2025-09-23,Disputed,330,3864.36,Credit Card
100359,2023-07-08,2023-07-19,Processing,729,418.56,PayPal
100360,2024-05-11,2024-05-20,On Hold,77,4858.97,Credit Card
100361,2023-01-27,2023-02-05,Shipped,395,943.65,Credit Card
100362,2024-03-03,2024-03-22,Shipped,321,3803.64,Credit Card
100363,2025-07-18,2025-07-25,Processing,109,4571.06,Credit Card
100364,2025-01-14,2025-01-29,Disputed,889,3104.29,Credit Card
100365,2025-03-30,2025-04-08,Shipped,434,825.16,Credit Card
100366,2023-07-29,2023-08-05,Shipped,110,3726.4,Credit Card
100367,2025-08-01,2025-08-09,Shipped,488,3311.12,Credit Card
100368,2024-06-27,2024-07-03,Resolved,87,1775.36,Credit Card
100369,2025-03-23,2025-04-11,Shipped,342,270.52,Credit Card
100370,2023-07-20,2023-07-24,Cancelled,750,4640.46,Credit Card
100371,2024-01-23,2024-02-07,Shipped,283,2650.17,Credit Card
100372,2025-06-06,2025-06-12,On Hold,662,1248.48,Credit Card
100373,2023-08-24,2023-08-28,Processing,590,1334.56,Credit Card
100374,2023-07-26,2023-08-06,Shipped,636,3499.06,Credit Card
100375,2025-03-15,2025-03-21,Shipped,844,4398.24,Credit Card
100376,2024-02-26,2024-03-05,Processing,356,3186.31,Bank Transfer
100377,2024-08-12,2024-08-15,Shipped,516,4539.37,PayPal
100378,2024-09-17,2024-09-27,Shipped,698,351.93,Credit Card
100379,2025-07-21,2025-07-28,Disputed,683,2375.63,Credit Card
100380,2023-12-30,2024-01-10,Processing,175,3397.62,Cash
100381,2024-12-22,2025-01-09,Shipped,501,4366.73,Credit Card
100382,2023-04-03,2023-04-06,Shipped,298,4177.62,PayPal
100383,2023-12-09,2023-12-16,Processing,103,1526.49,Bank Transfer
100384,2025-07-15,2025-08-02,Processing,559,1290.41,Credit Card
100385,2025-01-16,2025-02-02,Shipped,362,1509.16,Credit Card
100386,2025-11-26,2025-12-14,Shipped,703,2598.95,PayPal
100387,2023-10-30,2023-11-15,Processing,676,4970.46,Credit Card
100388,2023-03-05,2023-03-15,Shipped,713,4866.59,Credit Card
100389,2023-07-02,2023-07-11,Resolved,387,3195.48,Mobile Payment
100390,2025-07-09,2025-07-28,Shipped,933,3396.94,Cash
100391,2025-03-11,2025-03-27,Resolved,283,1550.07,Credit Card
100392,2025-12-01,2025-12-14,Processing,126,2170.13,Credit Card
100393,2024-12-11,2024-12-23,Shipped,9,2497.14,PayPal
100394,2025-08-13,2025-08-20,Shipped,297,3120.86,PayPal
100395,2024-09-13,2024-10-01,Shipped,819,1477.16,Credit Card
100396,2024-03-21,2024-04-02,Processing,127,270.7,Credit Card
100397,2025-05-31,2025-06-14,On Hold,1,254.26,Credit Card
100398,2024-08-03,2024-08-22,On Hold,788,2805.94,Mobile Payment
100399,2024-07-08,2024-07-15,Disputed,202,2163.09,Mobile Payment
